98.1,797.6,44.8
98,801.6,46.2
99.3,806.7,47.5
98.9,805.4,48.6
98.6,801.5,49.6
98.3,803.2,50.3
98.1,800.5,49.8
98.9,802.9,51.2
98.2,802.4,47.8
98,801.2,49.5
98.1,802,48.6
98.5,801.2,48.9
98.3,799.1,50.1
98.4,801.8,48.5
98.3,801.9,50.7
98.2,802.9,48.1
98.8,804.4,47.3
98.2,803.8,51.6
98,800.8,53.4
98.1,802.9,52.2
98.5,802.5,48
98.1,802.3,41.5
98,802.5,48.6
98.1,800.8,45.7
98.2,801.7,43.9
98.1,802.6,48
98.6,801.3,47.4
98.5,802.3,51
98,801.5,49.7
98,800.1,45.6
98.5,803,49.2
98.3,802.9,49.1
98.5,802.6,46.5
98.4,801.7,46.5
98.6,803.8,48.7
98.5,803.3,50.4
98.1,805.7,52.1
98.4,802.9,52.3
98.7,804.2,51.3
98.9,804.2,48
98.9,802.6,46.5
99,803.2,46.6
98.8,804.3,48.2
98.9,803.9,52.8
98.9,804.3,51.7
98.9,803.4,50.3
98.9,803.8,47.5
98.5,802.5,47.6
98.7,802.9,49.2
98.9,801.3,46.2
98.5,800.3,46.3
98.5,800.2,48.9
98.5,799.1,46.1
98.3,801.5,45.7
98.3,797.7,42.6
98.7,801.4,45.2
98.9,803.8,46
98.8,803,49.5
98.5,802.3,49.8
98.3,800.5,49.8
98.2,801.8,49.2
98.3,800.5,48.9
98.5,799.6,46
98.4,795.5,46.5
98.4,799.9,47
98.4,799.9,47
98.4,799.9,47
98.4,799.9,47
99.3,801,45
98.8,800.5,45.8
98.7,801.3,45.6
98.9,801,44.2
99.3,801.2,45.1
99,802.6,47.4
98.8,803,49.6
98.8,803.7,44.8
98.4,804.4,43.6
98.7,799,40.5
